ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-04-04,7558.3421874369105,5408.410789695488,6656.971837471507,7558.274104787204,7558.421517659873,-1507.4174146021285,-1507.4174146021285,-1507.4174146021285,-1507.4174146021285,-1507.4174146021285,-1507.4174146021285,0.0,0.0,0.0,6050.924772834782
2022-04-05,7597.6738198152225,5672.620979381798,6950.977791910302,7597.578413362993,7597.781452567837,-1284.6767796353126,-1284.6767796353126,-1284.6767796353126,-1284.6767796353126,-1284.6767796353126,-1284.6767796353126,0.0,0.0,0.0,6312.99704017991
2022-04-06,7637.005452193535,5153.420504599598,6417.160636207988,7636.8844682076315,7637.145849161811,-1853.4104753774127,-1853.4104753774127,-1853.4104753774127,-1853.4104753774127,-1853.4104753774127,-1853.4104753774127,0.0,0.0,0.0,5783.594976816123
2022-04-07,7676.337084571847,6066.328408362077,7280.330382622438,7676.186216137829,7676.510781934407,-1018.9606230987752,-1018.9606230987752,-1018.9606230987752,-1018.9606230987752,-1018.9606230987752,-1018.9606230987752,0.0,0.0,0.0,6657.376461473072
2022-04-08,7715.66871695016,8571.891662315598,9879.29541157532,7715.484809367517,7715.874405008178,1516.6967328829414,1516.6967328829414,1516.6967328829414,1516.6967328829414,1516.6967328829414,1516.6967328829414,0.0,0.0,0.0,9232.365449833102
2022-04-09,7755.000349328473,10372.776354036447,11626.723442785453,7754.784533231314,7755.237201673905,3231.4063642820806,3231.4063642820806,3231.4063642820806,3231.4063642820806,3231.4063642820806,3231.4063642820806,0.0,0.0,0.0,10986.406713610553
2022-04-10,7794.331981706785,8092.646855548122,9324.946482618012,7794.073145703247,7794.602709859152,916.3621955588173,916.3621955588173,916.3621955588173,916.3621955588173,916.3621955588173,916.3621955588173,0.0,0.0,0.0,8710.694177265603
2022-04-11,7833.663614085098,5718.155772135872,6963.728758575562,7833.368642805299,7833.971185533987,-1507.4174146019448,-1507.4174146019448,-1507.4174146019448,-1507.4174146019448,-1507.4174146019448,-1507.4174146019448,0.0,0.0,0.0,6326.246199483153
2022-04-12,7872.995246463411,5983.180669536853,7237.84533788391,7872.667475270319,7873.344963826753,-1284.6767796350186,-1284.6767796350186,-1284.6767796350186,-1284.6767796350186,-1284.6767796350186,-1284.6767796350186,0.0,0.0,0.0,6588.318466828392
2022-04-13,7912.326878841723,5430.299548862619,6689.270927738465,7911.967477771545,7912.726907385446,-1853.4104753777285,-1853.4104753777285,-1853.4104753777285,-1853.4104753777285,-1853.4104753777285,-1853.4104753777285,0.0,0.0,0.0,6058.916403463994
2022-04-14,7951.6585112200355,6281.360036877278,7493.768055734024,7951.264825906733,7952.101601692087,-1018.9606230976026,-1018.9606230976026,-1018.9606230976026,-1018.9606230976026,-1018.9606230976026,-1018.9606230976026,0.0,0.0,0.0,6932.697888122433
2022-04-15,7990.9901435983475,8886.690831481279,10150.224164602812,7990.550942981387,7991.459755671605,1516.6967328843718,1516.6967328843718,1516.6967328843718,1516.6967328843718,1516.6967328843718,1516.6967328843718,0.0,0.0,0.0,9507.68687648272
2022-04-16,8030.321775976661,10616.245066841115,11879.475727063871,8029.831324560406,8030.8369096660035,3231.4063642813207,3231.4063642813207,3231.4063642813207,3231.4063642813207,3231.4063642813207,3231.4063642813207,0.0,0.0,0.0,11261.728140257983
2022-04-17,8069.653408354973,8303.522391387422,9614.315627266846,8069.119701096109,8070.214856770414,916.3621955554048,916.3621955554048,916.3621955554048,916.3621955554048,916.3621955554048,916.3621955554048,0.0,0.0,0.0,8986.015603910379
2022-04-18,8108.985040733287,5955.3151241121695,7220.75047140742,8108.414516732925,8109.584291652044,-1507.417414602901,-1507.417414602901,-1507.417414602901,-1507.417414602901,-1507.417414602901,-1507.417414602901,0.0,0.0,0.0,6601.567626130386
2022-04-19,8148.316673111599,6246.699893004332,7492.767319640799,8147.695049352094,8148.9643863161355,-1284.6767796347242,-1284.6767796347242,-1284.6767796347242,-1284.6767796347242,-1284.6767796347242,-1284.6767796347242,0.0,0.0,0.0,6863.639893476875
2022-04-20,8187.648305489912,5718.77498658838,6957.807053379587,8186.977102519226,8188.344409174952,-1853.4104753780107,-1853.4104753780107,-1853.4104753780107,-1853.4104753780107,-1853.4104753780107,-1853.4104753780107,0.0,0.0,0.0,6334.237830111901
2022-04-21,8226.979937868224,6645.292286484776,7859.572764529613,8226.247440856992,8227.731385582441,-1018.9606231036556,-1018.9606231036556,-1018.9606231036556,-1018.9606231036556,-1018.9606231036556,-1018.9606231036556,0.0,0.0,0.0,7208.019314764568
2022-04-22,8266.311570246537,9188.493223289204,10433.646591761322,8265.52835069912,8267.113713333756,1516.6967328754024,1516.6967328754024,1516.6967328754024,1516.6967328754024,1516.6967328754024,1516.6967328754024,0.0,0.0,0.0,9783.008303121938
2022-04-23,8305.64320262485,10912.28468890521,12177.393114606308,8304.801328172809,8306.491622249634,3231.4063642819656,3231.4063642819656,3231.4063642819656,3231.4063642819656,3231.4063642819656,3231.4063642819656,0.0,0.0,0.0,11537.049566906815
2022-04-24,8344.974835003162,8590.220695246717,9894.96289456724,8344.084694837426,8345.878385573511,916.3621955548168,916.3621955548168,916.3621955548168,916.3621955548168,916.3621955548168,916.3621955548168,0.0,0.0,0.0,9261.33703055798
2022-04-25,8384.306467381473,6274.35274201962,7513.172813348084,8383.361886599676,8385.277012982307,-1507.4174146038579,-1507.4174146038579,-1507.4174146038579,-1507.4174146038579,-1507.4174146038579,-1507.4174146038579,0.0,0.0,0.0,6876.889052777616
2022-04-26,8423.638099759786,6522.817515298217,7810.194190636712,8422.629394405689,8424.671895632855,-1284.6767796352449,-1284.6767796352449,-1284.6767796352449,-1284.6767796352449,-1284.6767796352449,-1284.6767796352449,0.0,0.0,0.0,7138.961320124541
2022-04-27,8462.969732138099,6032.398953156798,7247.102935334418,8461.893321349236,8464.055500130666,-1853.4104753783108,-1853.4104753783108,-1853.4104753783108,-1853.4104753783108,-1853.4104753783108,-1853.4104753783108,0.0,0.0,0.0,6609.559256759789
2022-04-28,8502.301364516412,6839.537757496206,8041.648910632769,8501.189859638993,8503.456507712277,-1018.9606231018707,-1018.9606231018707,-1018.9606231018707,-1018.9606231018707,-1018.9606231018707,-1018.9606231018707,0.0,0.0,0.0,7483.340741414541
2022-04-29,8541.632996894725,9425.328469241478,10722.88019659245,8540.453932487697,8542.868888819585,1516.6967328768321,1516.6967328768321,1516.6967328768321,1516.6967328768321,1516.6967328768321,1516.6967328768321,0.0,0.0,0.0,10058.329729771556
